id,comment,expected_label,expected_reason,category,subcategory,tags,note
1,وضعیت کشور از کیفیت این غذا هم بدتر است.,disapproval,سياسي,political,direct,political|direct,کامنت سیاسی خنثی تا منفی
2,این اوضاع آدم را یاد مشکلات کشور می‌اندازد.,disapproval,سياسي,political,direct,political|direct,کامنت سیاسی خنثی تا منفی
3,دولت باید به این وضعیت رسیدگی کند.,disapproval,سياسي,political,government,political|government,کامنت سیاسی خنثی تا منفی
4,مسئولان فقط وعده می‌دهند.,disapproval,سياسي,political,officials,political|officials,کامنت سیاسی خنثی تا منفی
5,مشکلات اقتصادی روی همه چیز تأثیر گذاشته است.,disapproval,سياسي,political,economy,political|economy,کامنت سیاسی خنثی تا منفی
6,تورم باعث شده دیگر نتوانیم مثل قبل سفارش غذا بدهیم.,disapproval,سياسي,political,economy,political|economy,کامنت سیاسی خنثی تا منفی
7,این شرایط نتیجه مدیریت ضعیف است.,disapproval,سياسي,political,governance,political|governance,کامنت سیاسی خنثی تا منفی
8,کاش مسئولان بیشتر به مردم اهمیت می‌دادند.,disapproval,سياسي,political,officials,political|officials,کامنت سیاسی خنثی تا منفی
9,همه چیز گران شده، حتی غذا.,disapproval,سياسي,political,economy,political|economy,کامنت سیاسی خنثی تا منفی
10,این وضعیت قابل تحمل نیست.,disapproval,سياسي,political,direct,political|direct,کامنت سیاسی خنثی تا منفی
11,اوضاع کشور هر روز بدتر می‌شود.,disapproval,سياسي,political,direct,political|direct,کامنت سیاسی خنثی تا منفی
12,سیاست روی کیفیت زندگی مردم اثر گذاشته است.,disapproval,سياسي,political,governance,political|governance,کامنت سیاسی خنثی تا منفی
13,وضعیت مملکت ناامیدکننده است.,disapproval,سياسي,political,direct,political|direct,کامنت سیاسی خنثی تا منفی
14,مشکلات کشور از این سفارش هم بیشتر است.,disapproval,سياسي,political,direct,political|direct,کامنت سیاسی خنثی تا منفی
15,این شرایط واقعاً خسته‌کننده شده است.,disapproval,سياسي,political,direct,political|direct,کامنت سیاسی خنثی تا منفی
16,زن زندگی آزادی,disapproval,سياسي,political,slogan,political|slogan,کامنت سیاسی خنثی تا منفی
17,مرگ بر گرانی,disapproval,سياسي,political,slogan,political|slogan,کامنت سیاسی خنثی تا منفی
18,این همه مشکل تقصیر مسئولان است.,disapproval,سياسي,political,officials,political|officials,کامنت سیاسی خنثی تا منفی
19,مردم دیگر توان خرید ندارند.,disapproval,سياسي,political,economy,political|economy,کامنت سیاسی خنثی تا منفی
20,هیچ امیدی به بهتر شدن اوضاع نیست.,disapproval,سياسي,political,direct,political|direct,کامنت سیاسی خنثی تا منفی
21,وضع مملکت از این غذا هم بی‌کیفیت‌تر شده.,disapproval,سياسي,political,direct,political|direct,کامنت سیاسی خنثی تا منفی
22,با این وضع کشور کی حال سفارش غذا داره؟,disapproval,سياسي,political,direct,political|direct,کامنت سیاسی خنثی تا منفی
23,مجلس باید درباره گرانی غذا پاسخگو باشد.,disapproval,سياسي,political,government,political|government,کامنت سیاسی خنثی تا منفی
24,رئیس جمهور ببیند مردم با این قیمت‌ها چه می‌کشند.,disapproval,سياسي,political,government,political|government,کامنت سیاسی خنثی تا منفی
25,تحریم‌ها زندگی عادی را هم سخت کرده.,disapproval,سياسي,political,economy,political|economy,کامنت سیاسی خنثی تا منفی
26,فساد اداری از کیفیت غذا هم بدتر است.,disapproval,سياسي,political,governance,political|governance,کامنت سیاسی خنثی تا منفی
27,این دیکتاتوری اقتصادی مردم را له کرده.,disapproval,سياسي,political,governance,political|governance,کامنت سیاسی خنثی تا منفی
28,دولت فقط شعار می‌دهد، سفره مردم خالی است.,disapproval,سياسي,political,government,political|government,کامنت سیاسی خنثی تا منفی
29,مسئولین در خوابند و مردم در گرانی.,disapproval,سياسي,political,officials,political|officials,کامنت سیاسی خنثی تا منفی
30,اوضاع اقتصادی کشور فاجعه است.,disapproval,سياسي,political,economy,political|economy,کامنت سیاسی خنثی تا منفی
31,با این تورم حتی پیتزا لوکس شده.,disapproval,سياسي,political,economy,political|economy,کامنت سیاسی خنثی تا منفی
32,گرانی نتیجه سیاست‌های غلط است.,disapproval,سياسي,political,governance,political|governance,کامنت سیاسی خنثی تا منفی
33,مملکت را به کجا می‌برید؟,disapproval,سياسي,political,direct,political|direct,کامنت سیاسی خنثی تا منفی
34,وضعیت جامعه ناپایدار شده.,disapproval,سياسي,political,direct,political|direct,کامنت سیاسی خنثی تا منفی
35,سیاستمداران فقط به فکر خودشان هستند.,disapproval,سياسي,political,officials,political|officials,کامنت سیاسی خنثی تا منفی
36,این مدیریت مملکت مردم را خسته کرده.,disapproval,سياسي,political,governance,political|governance,کامنت سیاسی خنثی تا منفی
37,کشور در بن‌بست اقتصادی است.,disapproval,سياسي,political,economy,political|economy,کامنت سیاسی خنثی تا منفی
38,قدرت خرید مردم هر روز کمتر می‌شود.,disapproval,سياسي,political,economy,political|economy,کامنت سیاسی خنثی تا منفی
39,وعده وعید مسئولان دیگر خریدار ندارد.,disapproval,سياسي,political,officials,political|officials,کامنت سیاسی خنثی تا منفی
40,از وضع کشور شرمم می‌آید.,disapproval,سياسي,political,direct,political|direct,کامنت سیاسی خنثی تا منفی
41,این اوضاع سیاسی روی روحیه مردم اثر گذاشته.,disapproval,سياسي,political,governance,political|governance,کامنت سیاسی خنثی تا منفی
42,بحران اقتصادی همه چیز را خراب کرده.,disapproval,سياسي,political,economy,political|economy,کامنت سیاسی خنثی تا منفی
43,نظام تصمیم‌گیری کشور مشکل دارد.,disapproval,سياسي,political,governance,political|governance,کامنت سیاسی خنثی تا منفی
44,مردم زیر بار فشار اقتصادی له شده‌اند.,disapproval,سياسي,political,economy,political|economy,کامنت سیاسی خنثی تا منفی
45,دیگر به وعده‌های دولتی اعتماد نداریم.,disapproval,سياسي,political,government,political|government,کامنت سیاسی خنثی تا منفی
